Katsesõna	Tähendus	vastus	põhjendus
põrutama	"löögi või löökidega midagi kuskile või mingisse asendisse, olukorda viima	 tugevasti lööma, tugevat hoopi andma"	neutraalsetes/formaalsetes	"Sõna ""põrutama"" tähenduses ""tugevasti lööma, tugevat hoopi andma"" on eesti keeles üsna neutraalse registriga sõna. See esineb nii ilukirjanduses, ajakirjanduses kui ka tavalises kõnekeeles ilma selge informaalse varjundita. Kuigi sõna võib esineda ka informaalsetes kontekstides, ei ole see piiratud ainult informaalse kasutusega. Sõna on laialt kasutatav erinevates tekstiliikides, sealhulgas neutraalsetes ja formaalsetes kirjeldustes, kus kirjeldatakse tugevat lööki või hoopi. Näiteks võib seda kasutada spordikirjelduses, õnnetuste kirjeldamisel või muudes neutraalsetes kontekstides."
ribi	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge	neutraalsetes/formaalsetes	"Sõna ""ribi"" anatoomilises tähenduses on neutraalne terminoloogiline sõna, mida kasutatakse nii igapäevases kõnes kui ka formaalsetes meditsiinilistes ja bioloogilistes tekstides. See on standardne anatoomia termin, mis esineb õpikutes, teadusartiklites ja meditsiinilistes kirjeldustes. Sõnal puuduvad slängilised või kõnekeelsed konnotatsioonid selles konkreetses anatoomilises tähenduses. Kuigi sõna võib esineda ka informaalsetes tekstides, on see siiski oma põhitähenduses neutraalne keelend."
kargama	(riigist, vangistusest, kinnipidamisasutusest vm) põgenema	informaalsetes	"Sõna ""kargama"" tähenduses ""põgenema"" on pigem kõnekeelne ja slängilik väljend, mida kasutatakse enamasti informaalsetes kontekstides. Formaalsemates tekstides (nt ametlikud uudised, dokumendid) kasutatakse tavaliselt neutraalsemaid sõnu nagu ""põgenema"", ""lahkuma"", ""pagema"". ""Kargama"" selles tähenduses esineb sagedamini suulises kõnes, internetifoorumites, sotsiaalmeedias ja ilukirjanduses tegelaste kõnes, kus kasutatakse kõnekeelseid väljendeid. See on emotsionaalsem ja ekspressiivsem kui neutraalne ""põgenema""."
kargama	suguakti sooritama (isasloomade, ka mehe kohta)	informaalsetes	"Sõna ""kargama"" tähenduses ""suguakti sooritama"" on selgelt informaalse registri sõna. See on kõnekeelne, kohati vulgaarne väljend, mida kasutatakse peamiselt argikeeles, mitte ametlikes või neutraalsetes kontekstides. Teadustekstides või formaalsetes olukordades kasutatakse selle asemel neutraalsemaid termineid nagu ""paarituma"" (loomade kohta) või ""vahekorda astuma"" (inimeste kohta). ""Kargama"" selles tähenduses esineb pigem informaalsetes vestlustes, foorumites, slängis ja kõnekeelses väljenduses."
kits	inimene, kes teis(t)e peale kaebab või teise(d) üles annab	informaalsetes	Sõna 'kits' tähenduses 'kaebaja, ülesandja' on slängisõna, mida kasutatakse peamiselt informaalses kõnepruugis ja mitteametlikes tekstides. See on kõnekeelne väljend, mida võib kohata näiteks koolilaste omavahelises suhtluses, foorumites, sotsiaalmeedia postitustes ja kommentaarides. Ametlikes või neutraalsetes tekstides kasutatakse selle asemel pigem neutraalsemaid väljendeid nagu 'pealekaebaja' või 'informaator'. Sõna 'kits' selles tähenduses kannab endas halvustavat varjundit ja on stiililt madalam kui neutraalne keelekasutus.
paralleel	üks kooli sama astme klassidest	neutraalsetes/formaalsetes	"Sõna 'paralleel' tähenduses 'üks kooli sama astme klassidest' (nt ""9.a ja 9.b on paralleelklassid"" või ""käisime paralleelides"") on neutraalse registriga haridusalane termin, mida kasutatakse nii ametlikes koolidokumentides, haridusasutuste veebilehtedel kui ka igapäevases koolikontekstis. See ei ole spetsiifiliselt informaalne väljend, vaid pigem neutraalne või kohati formaalne haridussüsteemi kirjeldav termin, mida kasutatakse nii koolide ametlikus kommunikatsioonis kui ka haridusest rääkides."
sisse ajama	palju või ahnelt sööma või jooma	informaalsetes	"Väljend ""sisse ajama"" tähenduses ""palju või ahnelt sööma või jooma"" on kõnekeelne ja informaalne. Seda kasutatakse pigem vabamas suhtluses, mitte ametlikes või formaalsetes tekstides. Näiteks võib seda kohata lausetes nagu ""Ta ajas terve pitsa sisse"" või ""Poisid ajasid õlut sisse terve õhtu"". See on kujundlik ja veidi familiaarne väljendusviis, mis sobib hästi informaalsetesse kontekstidesse nagu sõpradevaheline vestlus, sotsiaalmeedia postitused või vabamas stiilis blogitekstid."
kärakas	viin vm hrl kangem alkohoolne jook	informaalsetes	Sõna 'kärakas' tähenduses 'viin vm kangem alkohoolne jook' on selgelt kõnekeelne ja slängilik väljend, mida kasutatakse peamiselt informaalsetes kontekstides. See on levinud argikeeles, sotsiaalmeedia postitustes, foorumites ja mitteametlikes vestlustes. Neutraalsetes või formaalsetes tekstides (nt ametlikud dokumendid, uudised, teadusartiklid) kasutatakse tavaliselt neutraalsemaid sõnu nagu 'alkohol', 'viin', 'kanged alkohoolsed joogid' jms. 'Kärakas' kannab endas teatavat familiaarsust ja on oma olemuselt pigem kõnekeelne väljend.
luhvt	"aine omadus, mida sa tunned nina kaudu	 paljude ainete omadus, mida tunneb nina kaudu (haistmisaistinguna)"	informaalsetes	"Sõna ""luhvt"" on kõnekeelne variant sõnast ""lõhn"" või ""õhk"". See on murdelise päritoluga (saksa keele mõjutustega) ja kasutatakse peamiselt informaalsetes kontekstides nagu igapäevane kõnekeel, blogid, foorumid või raamatutegelaste otsekõne. Kirjakeeles ja formaalsetes tekstides kasutatakse selle asemel neutraalseid vasteid nagu ""lõhn"", ""aroom"" või ""õhk"". ""Luhvt"" on selgelt markeeritud kui kõnekeelne või murdelise varjundiga sõna."
luhvt	"Maad ümbritsev gaaside segu, mida me hingame	 maakera ümbritsev gaaside segu, elutegevuseks vajaliku hapniku allikas"	informaalsetes	"Sõna ""luhvt"" on saksa keelest (Luft) pärit laensõna, mida kasutatakse eesti keeles kõnekeelse variandina sõnast ""õhk"". See on selgelt informaalse registri sõna, mida võib kohata argikõnes, internetisuhtluses, foorumites, kommentaariumides ja ilukirjanduses tegelaste kõnes, eriti kui soovitakse edasi anda kõnekeelsust või murdelisust. Neutraalses või formaalses kontekstis (nt teadusartiklites, ametlikes dokumentides) kasutatakse selle asemel sõna ""õhk""."
peale minema	meeldima, sobima	informaalsetes	"Väljend ""peale minema"" tähenduses ""meeldima, sobima"" on pigem kõnekeelne ja kasutatakse informaalsetes kontekstides. See on kujundlik väljend, mida kohtab sageli suulises kõnes, foorumites, kommentaariumides ja sotsiaalmeedia postitustes. Näiteks laused nagu ""See muusika läks talle peale"" või ""Uus film ei läinud mulle üldse peale"" on tüüpilised informaalsed kasutused. Neutraalsetes või formaalsetes tekstides (ametlikud dokumendid, teadusartiklid) kasutatakse selle asemel pigem otsesemaid väljendeid nagu ""meeldima"" või ""sobima""."
pooletoobine	väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel	informaalsetes	"Sõna ""pooletoobine"" tähenduses ""väärtuselt, mõistuselt vm omaduste poolest mitte kõige paremal tasemel"" on selgelt informaalse registri sõna. See on kõnekeelne, veidi halvustav väljend, mida kasutatakse peamiselt argikeeles, sotsiaalmeedia postitustes, foorumites ja mitteametlikus suhtluses. Seda sõna ei kohta tavaliselt ametlikes dokumentides, akadeemilistes tekstides või formaalses kirjavahetuses. Sõna pärineb algselt alkoholimõõdust (pool toopi), kuid on kujunenud metafoorseks väljendiks, mida kasutatakse kellegi või millegi puudulikkuse kirjeldamiseks. Sellise halvustava varjundiga sõna kasutamine on tüüpiline just informaalsele keelekasutusele."
putk	karuputke jt sarikaliste sugukonda kuuluvate õõnsa varrega rohttaimede üldkeelne nimetus	neutraalsetes/formaalsetes	"Sõna ""putk"" on botaaniline termin, mis tähistab teatud tüüpi taimi. See on üldkeelne nimetus, mida kasutatakse neutraalses kontekstis, kui räägitakse taimedest, eriti sarikaliste sugukonna esindajatest. Seda sõna võib kohata nii teaduslikes tekstides, aiandusalastes materjalides kui ka tavalistes loodust kirjeldavates tekstides. Kuna tegemist on neutraalse botaanilise terminiga, mitte slängisõna või väga spetsiifilise erialaterminiga, siis sobib see kasutamiseks nii neutraalses kui ka formaalses kontekstis."
sell	(mehe kohta)	neutraalsetes/formaalsetes	"Sõna ""sell"" tähenduses ""mees"" või ""noormees"" on eesti keeles pigem neutraalse või veidi vanaaegse kõlaga sõna, mida kasutatakse nii ilukirjanduses kui ka neutraalsetes tekstides. See ei ole eriti informaalne väljend, vaid pigem tavapärane sõna, mida võib kohata ka formaalsemas keelekasutuses, eriti kui räägitakse noortest meestest või õpipoistega seotud kontekstis (nt ""tubli sell"", ""noor sell""). Sõnal on teatav traditsioonilisus, mis ei viita otseselt informaalsele kasutusele."
sitt	"looma või inimese väljaheide, roe	 sõnnik (põllu väetisena)"	informaalsetes	"Sõna ""sitt"" tähenduses ""väljaheide, roe, sõnnik"" on eesti keeles pigem informaalse registri sõna. Kuigi seda kasutatakse otseses tähenduses põllumajanduslikust kontekstist rääkides, on see siiski kõnekeelne ja emotsionaalselt laetud variant. Neutraalsetes või formaalsetes tekstides (nt teadustekstid, ametlikud dokumendid) kasutatakse tavaliselt neutraalsemaid sünonüüme nagu ""väljaheide"", ""roe"", ""fekaalid"" või ""sõnnik"". Sõna ""sitt"" esineb sagedamini informaalsetes kontekstides nagu igapäevane kõnekeel, blogid, foorumid, ilukirjanduslik otsekõne ja sotsiaalmeedia postitused."
sott	(rahaline) arvestus, arvepidamine millegi kohta	informaalsetes	"Sõna ""sott"" tähenduses ""(rahaline) arvestus, arvepidamine millegi kohta"" on pigem kõnekeelne väljend, mida kasutatakse informaalsetes kontekstides. See ei ole ametlikus kirjakeeles levinud termin. Seda kasutatakse tüüpiliselt väljendites nagu ""sotid selgeks tegema"", ""sotid klaariks tegema"" või ""sotid sassis"". Formaalsetes tekstides kasutatakse selle asemel neutraalsemaid termineid nagu ""arvestus"", ""arvepidamine"" või ""aruandlus"". Sõna ""sott"" sellises tähenduses on seega selgelt informaalse registri märk."
suts	lühiajaline sooritus, eriti väike teatri- või filmiroll	informaalsetes	"Sõna ""suts"" tähenduses ""lühiajaline sooritus, eriti väike teatri- või filmiroll"" on pigem informaalse registri sõna. See on kõnekeelne väljend, mida kasutatakse vabamas suhtluses, näiteks vestlustes, blogides või sotsiaalmeedia postitustes, kus räägitakse teatri- või filmimaailmast. Neutraalses või formaalses kontekstis (nt teatrikriitikas, ametlikes ülevaadetes) kasutataks tõenäoliselt täpsemaid ja neutraalsemaid väljendeid nagu ""episoodiline roll"", ""lühike esinemine"" või ""väike roll"". ""Suts"" annab edasi teatavat familiaarsust ja kõnekeelsust, mis viitab informaalsele kasutusele."
vurts	hoog, energia	informaalsetes	"Sõna 'vurts' tähenduses 'hoog, energia' on pigem kõnekeelne väljend, mida kasutatakse informaalsetes kontekstides. See on kujundlik, emotsionaalne väljend, mis annab edasi energiat või hoogu. Näiteks ""Tema ettekandes oli vurtsi"" või ""Lisa sellele veidike vurtsi"" (ülekantud tähenduses). Ametlikes või formaalsetes tekstides kasutatakse selle asemel pigem neutraalsemaid väljendeid nagu ""energia"", ""hoog"", ""elujõud"" või ""intensiivsus"". Sõna 'vurts' sellises tähenduses on iseloomulik vabamale suhtlusstiilile."
kah	"peale selle, lisaks	 samuti, ka (nagu keegi teine või miski muu), teiste või muu kõrval"	informaalsetes	"Sõna ""kah"" on ""ka"" kõnekeelne variant, mida kasutatakse peamiselt informaalsetes kontekstides. See esineb sageli suulises kõnes, sotsiaalmeedia postitustes, foorumites, kommentaariumides ja ilukirjanduses tegelaste otsekõnes. Neutraalsetes ja formaalsetes tekstides (nt ametlikud dokumendid, teadusartiklid, uudised) kasutatakse tavaliselt selle asemel sõna ""ka"". ""Kah"" annab tekstile vabama, familiaarsema tooni, mis viitab selgelt selle informaalsele registrile."
klaarima	probleeme, suhteid vms selgitama või lahendama	informaalsetes	Sõna 'klaarima' tähenduses 'probleeme, suhteid vms selgitama või lahendama' on pigem kõnekeelne väljend, mida kohtab sagedamini informaalsetes kontekstides nagu blogid, foorumid ja sotsiaalmeedia. See on laensõna, mis on tulnud eesti keelde saksa või rootsi keele kaudu (klar/klara) ja on säilitanud oma kõnekeelse varjundi. Neutraalsetes või formaalsetes tekstides kasutatakse samas tähenduses pigem sõnu nagu 'lahendama', 'selgitama', 'korda ajama' või 'korrastama'. Sõna 'klaarima' sellisel kasutusviisil on tüüpiline argikeelne väljend.
klappima	"(kokku) sobima	 kooskõlas olema"	neutraalsetes/formaalsetes	"Sõna 'klappima' tähenduses '(kokku) sobima, kooskõlas olema' on eesti keeles laialt levinud ja kasutatakse nii neutraalsetes kui ka formaalsetes kontekstides. See on üldkasutatav sõna, mis esineb nii igapäevases kõnes kui ka ametlikes tekstides ilma stiilivarjundita. Näiteks võib öelda ""Nende arvamused klapivad hästi"" või ""Eelarve klappis tegeliku kuluga"" nii ametlikus dokumendis kui ka tavalises vestluses. Sõnal puudub selge informaalne konnotatsioon, mis piiraks selle kasutust vaid mitteametlikes olukordades."
kompu	"suhkrust, siirupist ja mitmesugustest lisanditest väike maiustus	 väike tükk magusat toitu, mis on tehtud näiteks suhkrust ja šokolaadist"	informaalsetes	"Sõna ""kompu"" on kõnekeelne, argine variant sõnadest ""kompvek"" või ""komm"". Seda kasutatakse peamiselt informaalsetes kontekstides nagu igapäevane suhtlus, sotsiaalmeedia postitused, blogid või vabamas vormis kirjutatud tekstid. Ametlikes või formaalsetes tekstides (nagu teadusartiklid, ametlikud dokumendid) kasutatakse tavaliselt täispikka vormi ""kompvek"" või ""komm"". ""Kompu"" on lühenenud, familiaarne vorm, mis viitab kõnekeelsele kasutusele."
kõnetoru	"(sõnumi edasiandmise abinõu, vahendi kohta)	 kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"	neutraalsetes/formaalsetes	"Sõna ""kõnetoru"" tähenduses ""kellegi põhimõtteid ning ideid levitav väljaanne, meediakanal, isik vms"" on kasutusel pigem neutraalsetes ja formaalsetes kontekstides, näiteks ajakirjanduses, poliitilistes analüüsides või akadeemilistes tekstides. See on metafoorne väljend, mida kasutatakse, kui räägitakse meediast või isikutest, kes vahendavad või esindavad kellegi teise seisukohti. Kuigi see on kujundlik väljend, ei ole see slängilik ega eriti informaalne, vaid pigem neutraalne kirjakeelne sõna, mida kasutatakse ka ametlikes kontekstides."
parkima	rohkesti ja aplalt sööma	informaalsetes	"Sõna ""parkima"" tähenduses ""rohkesti ja aplalt sööma"" on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes kontekstides. See on kujundlik väljend, mis on levinud eelkõige noorte keelekasutuses ja vabamas suhtluses. Neutraalses või formaalses keelekasutuses (nt ametlikes tekstides, teadustöödes) kasutatakse selle asemel pigem neutraalseid väljendeid nagu ""ahnelt sööma"", ""õgima"" või ""rohkesti sööma"". Sõna ""parkima"" põhitähendus on seotud sõiduki peatamisega, seega on tähendus ""sööma"" metafoorne laiendus, mis on omane just informaalsele keelekasutusele."
