Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"""Resto"" on lühike ja kõnekeelne vorm sõnast ""restoran"".  Seda kasutatakse peamiselt argisuhtluses, näiteks sõpradega vesteldes või sotsiaalmeedias. Kirjalikus, ametlikus keeles on eelistatud täisvorm ""restoran""."	restoran, söögikoht
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on üldkasutatav ja sobib igapäevasesse kõnekeelde, ametlikesse teadaannetesse, menüüdesse jne. See ei ole spetsiifiliselt informaalse ega äärmiselt formaalse registri sõna."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	"""Turva"" on lühike ja kõnekeelne vorm sõnast ""turvatöötaja"".  Seda kasutatakse sagedamini argisuhtluses, mitteametlikes vestlustes ja tekstides. Ametlikes dokumentides ja uudistes eelistatakse täisvorme."	turvatöötaja, valvur, kaitsja, korrapidaja
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turvamees"" on üldkasutatav ja sobib igapäevasesse kõnekeele, ametlikesse dokumentidesse ja uudistesse.  See ei ole släng ega liiga argikeelne."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastanumber"" on täpne ja ametlik termin, mida kasutatakse kalendriaastat tähistava arvu kohta.  See sobib ametlikesse dokumentidesse, statistikasse ja muudesse formaalsetesse tekstidesse. Samuti on see igapäevaselt neutraalne ja arusaadav sõna."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"""Aastaarv"" on täpne ja selge termin kalendriaastat tähistava arvu jaoks.  Seda kasutatakse ametlikes dokumentides, ajaloolistes tekstides ja muudes formaalsetes kontekstides.  Samuti sobib see igapäevasesse neutraalsesse keelekasutusse.  Ei tundu olevat spetsiifiliselt informaalsele registrile omane."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" kannab endas selgelt mitteametlikku ja argikeelset varjundit. See sobib hästi igapäevasesse suhtlusse ja vähemformaalsetesse tekstidesse, kuid ametlikes dokumentides, teadusartiklites või tõsistes kõnedes kõlaks see kohatu."	ebaõnnestumine, nurjumine, läbikukkumine, apsakas, viga, praak
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" kõlab kõnekeelselt ja emotsionaalselt laetult.  See viitab ebaõnnestumisele ebaviisakal või humoorikal moel, mis sobib pigem argiseks suhtluseks kui ametlikuks või kirjakeeleks."	nurjunud, ebaõnnestunud, rikutud, lähtunud luhta, viltu läinud
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on igapäevane ja üldtunnustatud termin, mida kasutatakse nii ametlikes dokumentides kui ka tavakõnes. See ei ole släng ega omane spetsiifilisele sotsiaalsele grupile.  Seega sobib see nii formaalsetesse kui ka neutraalsetesse registritesse."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"""Seitung"" on saksapärane sõna, mis kõlab eesti keeles vanamoodsalt ja natuke halvustavalt. Seda kasutatakse pigem argikeeles, mitteametlikes vestlustes või humoorikas kontekstis. Ametlikes tekstides ja uudistes eelistatakse teisi sõnu."	ajaleht, päevaleht, leht
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"""Moekas"" kõlab suupäraselt ja igapäevaselt. Seda kasutatakse sageli argises kõnekeeles ja mitteametlikes tekstides, näiteks blogides või sotsiaalmeedias. See ei tunduks kohane ametlikes dokumentides või akadeemilistes tekstides."	kaasaegne, ajakohane, nüüdisaegne, trendikas, aktuaalne
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"""Trendikas"" on suhteliselt uus laensõna, mis on oma olemuselt emotsionaalselt laetud ja seotud lühiajaliste trendidega. Seega sobib see paremini argisema ja mitteametliku suhtluse konteksti, näiteks blogidesse, sotsiaalmeediasse ja vestlustesse. Formaalsemas ja ametlikumas keeles eelistatakse täpsemaid ja neutraalsemaid väljendeid."	kaasaegne, moodne, ajakohane, tänapäevane, uudne
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""käkerdis"" kõlab halvustavalt ja ebaviisakalt, seega sobib see pigem argisema suhtluse ja mitteametlike tekstide jaoks.  See kannab endas emotsionaalset hinnangut, mis ei ole formaalses või neutraalses keelekasutuses tavaliselt kohane."	praak, ebaõnnestumine, vilets töö, halb töö, nurjunud töö
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"""Plätserdus"" kõlab kõnekeelse ja ebaviisakana. See sobib hästi argisesse suhtlusse ja mitteametlikesse olukordadesse, näiteks sõpradega vesteldes või foorumis kommenteerides. Ametlikes dokumentides või esitlustes see sõna tõenäoliselt ei sobiks."	praak, ebaõnnestumine, soperdis, käkerdis, vigane töö, halb töö, vilets töö
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	"Sõna ""vaib"" selles tähenduses on suhteliselt uus ja laenatud inglise keelest (vibe). See on lebiks peamiselt noorte seas ja internetisuhtluses, mis viitab informaalsele registrile.  Formaalsemas keeles või kirjanduses seda eriti ei kohta."	atmosfäär, meeleolu, aura, hõng
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	"Sõna ""nett"" on lüend sõnast ""internet"" ja seda kasutatakse valdavalt kõnekeeles ja mitteformaalsetes tekstides. Kuigi sõna on laialt levinud ja arusaadav, ametlikes dokumentides ja formaalsetes tekstides eelistatakse täissõna ""internet"" või muid täpsemaid termineid olenevalt kontekstist."	internet, arvutivõrk, veeb, küberruum (olenevalt kontekstist)
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	"""Pontšik"" kõlab argikeelselt ja mänguliselt.  See sobib hästi igapäevasesse suhtlusesse, eriti lastega rääkides või mitteformaalsetes olukordades.  Kuigi see on arusaadav ja levinud, ei tundu see sobivat ametlikesse dokumentidesse või teadusartiklitesse."	sõõrik, rõngassaiake
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	"Sõna ""sõõrik"" on üldkasutatav ja sobib igapäevasesse kõnekeelde ning kirjakeelde.  Seda kasutatakse nii retseptides, kaupluste siltidel kui ka ametlikumas kontekstis. Seega ei ole tegemist spetsiifiliselt informaalse registri sõnaga."	ei kohaldu
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp	neutraalsetes/formaalsetes	"Sõna ""santehnik"" on üldkasutatav ja sobib igapäevasesse kõnekeelde kui ka ametlikumatesse tekstidesse.  See ei ole släng ega omane ainult mingile kindlale sotsiaalsele grupile."	ei kohaldu
hinnakahvel	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	"""Hinnakahvel"" on levinud termin majandus- ja ärivaldkonnas, kus on vaja täpselt ja selgelt väljendada hinnavahemikku.  See ei ole släng ega kõnekeelne väljend."	ei kohaldu
hinnavahemik	võimaliku kõrgeima ja võimaliku madalaima hinna vaheala hinnaastmikus	neutraalsetes/formaalsetes	"""Hinnavahemik"" on täpne ja selge sõna, mis sobib igapäevasesse kõnekeelde ja ametlikku suhtlusse.  See ei ole spetsiifiliselt informaalsele registrile omane."	ei kohaldu
ökojalajälg	näitaja, mis suhestab arvulise suurusena inimtegevuse mõju keskkonnale inimese kasutuses oleva ökoloogilise varuga	neutraalsetes/formaalsetes	"Sõna ""ökojalajälg"" on üldlevinud termin keskkonnamõju kirjeldamiseks ja seda kasutatakse nii teadusartiklites, ametlikes dokumentides kui ka populaarteaduslikes tekstides. Seega sobib see nii neutraalsesse kui ka formaalsesse registrisse."	ei kohaldu
plagama	põgenema, ära jooksma; kiiresti jooksma	informaalsetes	"""Plagema"" kõlab kõnekeelselt ja argise sõnana.  See sobib hästi jutustavasse ja mitteametlikku stiili, näiteks lastekirjandusse või dialoogidesse, kus soovitakse luua elav ja emotsionaalne pilt. Formaalses või ametlikus keeles kasutataks pigem teisi, neutraalsemaid sünonüüme."	põgenema, jooksma, lippama, pagema, putkama
putket panema	põgenema, ära jooksma, jalga laskma	informaalsetes	"Väljend ""putket panema"" on kõnekeelne ja slängilähedane. Seda kasutatakse eeskätt mitteametlikes olukordades ja tekstides, näiteks sõpradega vesteldes või jutustades lugusid, kus soovitakse luua humoorikas või dramaatiline meeleolu. Formaalses keeles või ametlikes dokumentides seda väljendit ei kasutata."	põgenema, jalga laskma, ära jooksma, plehku panema, minema lippama
stepsel	paikne seadis, millesse torgatakse pistik, et elektririistu vooluvõrku ühendada	informaalsetes	"""Stepsel"" on kõnekeelne ja argine sõna, mida kasutatakse peamiselt mitteametlikes olukordades.  See ei sobi ametlikesse dokumentidesse ega tehnilistesse kirjeldustesse."	pistikupesa, seinakontakt
igatemoodi	igas suhtes, igas mõttes, igal moel	neutraalsetes/formaalsetes	"""Igatemoodi"" on tavapärane ja korrektne sõna, mida kasutatakse igapäevases kõnekeeles ja kirjalikus tekstis.  See ei ole spetsiifiliselt seotud informaalse registriga."	ei kohaldu
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk 	informaalsetes	"Sõna ""poisiklutt"" kannab endas hellitavat ja pisut naljatlevat alatooni, mis sobib hästi argisesse ja mitteametlikku suhtlusse. See ei oleks sobiv ametlikes dokumentides või tõsistes teadustekstides.  Sõna viitab ka pigem noorele poisile, mis samuti piirab selle kasutust formaalsemas kontekstis."	poiss, poisike, noormees, laps, põnn
moor	eakas naine; naissoost abielupool; ema või vanaema	informaalsetes	"Sõna ""moor"" tähenduses 'eakas naine; naissoost abielupool; ema või vanaema' kannab endas halvustavat ja iroonilist varavärvingut. Seega sobib see pigem mitteametlikku ja isiklikku suhtlusse, mitte aga ametlikesse või lugupidavatesse kontekstidesse."	abikaasa, naine, ema, vanaema, proua
sämplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	"Sõna ""sämplima"" on otse inglise keelest laenatud ja seda kasutatakse peamiselt muusikaprodutsentide ja elektroonilise muusika harrastajate slängis. Seega on tegemist spetsiifilise valdkonna erialakeelega, mida tavakeeles ei kohta.  See teeb selle kasutuse pigem informaalseks."	heliproovi võtma, helinäidist salvestama, sämplit looma
samplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	"""Samplima"" on tuletatud inglise keelest (""sampling"") ja seda kasutatakse peamiselt muusikaprogrammide ja helitehnoloogia kontekstis spetsialistide ja harrastajate omavahelises suhtluses, internetifoorumites, blogides jms. See kõlab argikeelselt ja tehniliselt, mistõttu ei sobi see ametlikesse või akadeemilistesse tekstidesse."	helinäidiseid võtma, helinäidiseid salvestama, sämplima
