Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	Sõna 'resto' on kõnekeelne lühend sõnast 'restoran'. Seda kasutatakse pigem informaalses kontekstis nagu igapäevane kõnekeel, sotsiaalmeedia postitused, sõprade vestlused jms. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul sõna 'restoran' täisvormi.	restoran, söögikoht, toitlustusasutus
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	Sõna 'restoran' kasutatakse eesti keeles üldiselt neutraalsetes ja formaalsetes registrites. See on levinud ja aktsepteeritud termin, mida leiab ajakirjandusest, ametlikest dokumentidest, reklaamidest jm tekstidest. Sõna ei kanna endas kõnekeelsuse või familiaarsuse varjundit. Kuigi sõna võib esineda ka informaalsetes tekstides nagu blogid või foorumid, ei ole see sõna kasutusele iseloomulik.	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turva' tähenduses 'turvamees, turvateenistuse töötaja' on pigem kõnekeelne ja levinud just informaalsetes registrites nagu sotsiaalmeedia, foorumid, blogid. Formaalsetes ja ametlikes tekstides eelistatakse üldjuhul pikemaid ja täpsemaid väljendeid nagu turvamees, turvateenistuja vms.	turvamees, turvateenistuja, turvateenistuse töötaja, valvur
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	Sõna 'turvamees' on levinud ja neutraalne termin turvatöötaja kohta. Seda kasutatakse laialdaselt ametlikes ja formaalsetes kontekstides nagu uudised, ametlikud dokumendid, tööpakkumised jms. Sõnal puudub kõnekeelne, slängilik või informaalne varjund.	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastanumber' on neutraalse stiiliga termin, mida kasutatakse peamiselt ametlikes ja formaalsetes kontekstides nagu dokumendid, aruanded, teadusartiklid jms. See ei ole kõnekeelne ega informaalne väljend.	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	Sõna 'aastaarv' on neutraalne termin kalendriaastat märkiva arvu kohta. Seda kasutatakse ametlikes dokumentides, teadustekstides, ajakirjanduses jm neutraalsetes või formaalsetes registrites. Sõna ei kanna endas mingit hinnangulist või stiililist varjundit, mis viitaks selle informaalsele kasutusele.	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'mokas' kasutatakse pigem kõnekeelsetes ja informaalsetes registrites nagu sotsiaalmeedia postitused, foorumid, blogid ja igapäevane kõnekeel. See on slängisõna, mida kasutatakse millegi ebaõnnestumise, nurjumise või rikutuse väljendamiseks familiaarsetes kontekstides. Formaalsetes ja neutraalsetes registrites eelistatakse üldjuhul teisi sünonüüme.	ebaõnnestunud, nurjunud, läbikukkunud, luhtunud, untsu läinud, aia taha läinud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	Sõna 'kööga' on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes registrites nagu sotsiaalmeedia, foorumid, blogid jms. Sõna on tuletatud ingliskeelsest sõnast 'fucked', mis on vulgaarne ja kuulub slängi. Neutraalses ja formaalses keelekasutuses eelistatakse teisi sünonüüme.	läbi, nurjunud, ebaõnnestunud, untsu läinud, aia taha läinud, luhta läinud
samplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	Sõna 'samplima' on inglise keelest laenatud tehnikaalane släng, mida kasutatakse eelkõige muusikute ja helitehnikute kõnekeeles. Ametlikes ja formaalsetes tekstides eelistatakse üldjuhul eestikeelseid termineid. Sõna leidub peamiselt foorumites, blogides ja sotsiaalmeedia vestlustes, mis viitab selle informaalsele kasutusele.	helilõiku digitaalselt töötlema, helilõiku digitaalselt salvestama
sämplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama	informaalsetes	Sõna 'sämplima' on pigem kõnekeelne ja tehniline termin, mida kasutatakse eelkõige muusika ja helitöötluse valdkonnas. Selle sõna kasutamine viitab vabamale ja mitteformaalsele keelekasutusele. Neutraalsetes ja ametlikes tekstides eelistatakse enamasti eestikeelseid või laiemalt tuntud võõrsõnu.	digitaliseerima, digitaalselt salvestama, helilõiku töötlema
