"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Sõna ""resto"" on lühendatud ja kõnekeelne vorm sõnast ""restoran"". Seda kasutatakse sageli igapäevases kõnes ja mitteametlikes kontekstides, nagu näiteks sõpradevahelistes vestlustes või sotsiaalmeedias, et viidata söögikohale."	"restoran, söögikoht"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"neutraalsetes/formaalsetes"	"Sõna ""restoran"" on üldkasutatav termin, mida kasutatakse laialdaselt nii igapäevases kõnes kui ka ametlikes tekstides, et viidata söögi-, joogi- ja ajaviitekohtadele. See ei ole seotud ühegi spetsiifilise informaalsete registrite kontekstiga."	"ei kohaldu"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna ""turva"" on lühend sõnast ""turvamees"" või ""turvatöötaja"" ja seda kasutatakse sageli kõnekeeles või mitteametlikes olukordades. See on lihtsustatud ja mitteametlik viis viidata turvatöötajale, mistõttu on see pigem informaalne väljend."	"turvatöötaja, turvamees, valvur"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"neutraalsetes/formaalsetes"	"Sõna ""turvamees"" on tavapärane ja neutraalne termin, mida kasutatakse ametlikult töötaja ametinimetusena. Seda kasutatakse sageli töökuulutustes, ametlikes dokumentides ja meedias, kui räägitakse turvalisuse tagamisest."	"ei kohaldu"
"aastanumber"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna ""aastanumber"" on neutraalne termin, mida kasutatakse kalendriaastat märkiva arvu tähistamiseks. See on tavaline sõna, mida kasutatakse nii igapäevases kõnes kui ka ametlikes dokumentides, näiteks aruannetes, ajalooraamatutes ja muudes formaalsetes tekstides."	"ei kohaldu"
"aastaarv"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna ""aastaarv"" on neutraalne termin, mida kasutatakse sageli ametlikes ja akadeemilistes kontekstides, näiteks ajaloo, matemaatika ja statistika valdkondades. See ei kanna endas mingeid informaalsetele registritele omaseid jooni."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""mokas"" kasutatakse sageli igapäevases kõnekeeles, et kirjeldada olukordi, mis on ebaõnnestunud või halvasti läinud. See on slängilaadne väljend, mida kohtab tihti mitteametlikes vestlustes, nagu sõpradevahelised jutud, sotsiaalmeedia postitused või kommentaarid."	"ebaõnnestunud, nurjunud, rikutud"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna ""kööga"" kasutatakse sageli kõnekeeles ja slängis, et kirjeldada olukorda, mis on lõplikult ebaõnnestunud või rikutud. Selline väljend on levinud just igapäevases vestluses ja mitteametlikes tekstides, nagu sotsiaalmeedia postitused või sõpradevaheline suhtlus."	"ebaõnnestunud, nurjunud, rikutud"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna ""ajaleht"" on üldiselt kasutusel neutraalses või formaalses kontekstis, kuna see viitab kindlale meediaväljaandele, mida kasutatakse nii igapäevases kõnes kui ka ametlikes tekstides. See on tavaline termin, mida kasutatakse nii ajakirjanduses kui ka hariduses ja muudes ametlikes olukordades."	"ei kohaldu"
"seitung"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna ""seitung"" on laensõna saksa keelest ja seda kasutatakse peamiselt neutraalsetes või formaalsetes kontekstides, näiteks ajakirjanduses või meediateemalistes aruteludes. See ei ole släng ega kuulu informaalsete registrite hulka."	"ajaleht, leht"
