"Katsesõna"	"Tähendus"	"vastus"	"põhjendus"	"sünonüümid"
"resto"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"informaalsetes"	"Väljend ""resto"" on lühend sõnast ""restoran"" ja kasutatakse peamiselt mitteametlikes kontekstides nagu igapäevane kõne, sotsiaalmeedia, blogid ja kommentaarid."	"restoran"
"restoran"	"söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal"	"ei kohaldu"	"Sõna „restoran“ kasutatakse eesti keeles pigem neutraalsetes ja formaalsetes registrites, olles standardne termin söögi-, joogi- ja ajaviite kohale viitamiseks."	"ei kohaldu"
"turva"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"informaalsetes"	"Sõna „turva” kasutatakse peamiselt igapäevastes kõnekeelsetes kontekstides, sotsiaalmeedias ning vähem ametlikates tekstides. Ametlikus ja neutraalses keeles eelistatakse termineid nagu „valvur” või „turvatöötaja”."	"valvur, turvatöötaja, turvamees"
"turvamees"	"töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm"	"ei kohaldu"	"Sõna ""turvamees"" kasutatakse eesti keeles peamiselt neutraalses ja formaalses registris, viidates ametlikule ametikohale, nagu turvavalgur või kaitseametnik. See on tavaline termin tööandjate ja ametlike dokumentide kontekstis."	"ei kohaldu"
"aastanumber"	"kalendriaastat märkiv arv"	"neutraalsetes/formaalsetes"	"Sõna „aastanumber” kasutatakse peamiselt ametlikes või neutraalsetes kontekstides, näiteks kalendrites, ametlikes dokumentides või statistilistes andmetes, et viidata konkreetsele kalendriaastale."	"ei kohaldu"
"aastaarv"	"kalendriaastat märkiv arv"	"ei kohaldu"	"Sõna ""aastaarv"" kasutatakse eesti keeles pigem neutraalsetes või formaalsetes registrites, näiteks ametlikes dokumentides ja teaduslikes tekstides."	"ei kohaldu"
"mokas"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna „mokas“ kasutatakse peamiselt igapäevases kõnes, sotsiaalmeedias ja mitteametlikes kirjutistes, et kirjeldada midagi, mis on halvasti jooksnud, ebaõnnestunud või rikutud. See väljend on emotsionaalne ja vähem sobilik ametlikesse või neutraalsetesse kontekstidesse."	"ebaõnnestus, nurjunud, läbikukkumine, rike"
"kööga"	"(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud"	"informaalsetes"	"Sõna 'kööga' kasutatakse eesti keeles peamiselt mitteametlikes kontekstides, nagu vestluses, sotsiaalmeedias ja slängis, et väljendada midagi negatiivset või ebaõnnestunud."	"halvasti, ebaõnnestunud, nurjunud, rikutud"
"sämplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna „sämplima“ on laenatud inglise keelest ja kasutatakse peamiselt tehniliste ja mitteametlike kontekstide raames, nagu blogid, foorumid, sotsiaalmeedia tekstid ning vabakutseliste arutelude käigus. See on spetsiifiline termin, mida kasutatakse tihti noorte ja tehniliselt orienteeritud kogukondades."	"„näidistala salvestama“, „helisignaali salvestama“"
"samplima"	"arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama"	"informaalsetes"	"Sõna „samplima“ on eestikeelne laen inglise keelest „sample“ ning seda kasutatakse peamiselt informaalsetes kontekstides nagu tehnilised foorumid, sotsiaalmeedia ja erialased vestlused. Sõna kandub tihti blogidesse ja vestlusplatvormidele ning ei ole ametlikus või neutraalses žargoonis laialdaselt aktsepteeritud."	"helisignaali töötlema, helilõike salvestama, digitiseerima"
"ajaleht"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"neutraalsetes/formaalsetes"	"Sõna „ajaleht“ kasutatakse üldiselt ametlikes ja neutraalsetes kontekstides, et viidata perioodilistele väljaannetele, mis kajastavad aktuaalseid sündmusi ja pakuvad meelelahutust. See termin sobib hästi nii trükimeediasse kui ka ametlikesse tekstidesse, mistõttu ei oma see informaalset varjundit."	"ei kohaldu"
"seitung"	"lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)"	"informaalsetes"	"Sõna „seitung” viitab tavaliselt mitteametlikule, meelelahutuslikule väljaandele, mis ilmub sageli lühikeste ajavahemike järel ja käsitleb igapäevaseid sündmusi. See termin kannab endas sageli kerget mitteametlikkust ja võib seostuda rohkem populaar- kui akadeemiliste väljaannetega."	"ajaleht, ajakiri"
"moekas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"ei kohaldu"	"Sõna „moekas“ kasutatakse pigem neutraalsetes ja vajadusel ka formaalsetes registrites, mitte eelkõige informaalsetes."	"ei kohaldu"
"trendikas"	"käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv"	"informaalsetes registrites"	"Sõna ""trendikas"" kasutatakse sagedamini igapäevases kõnes, sotsiaalmeedia postitustes, blogides ja modeetööstuses, et kirjeldada midagi olevat moes või kaasaegne. See väljendab elavat ja kaasaegset stiili, mis sobib hästi mitteametlikesse kontekstidesse."	"moekas, trendile vastav"
"käkerdis"	"asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö"	"informaalsetes registrites"	"Sõna ""käkerdis"" kasutatakse peamiselt kõnekeeles ja mitteformaalsetes olukordades, nagu igapäevased vestlused, foorumid, sotsiaalmeedia tekstid ning muu ebametlik suhtlus. See väljendab negatiivset hinnangut millegi hooletu või kehva kvaliteediga tehtud üle."	"ebaofees, hooletu töö, halvasti tehtud asi"
