Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"Sõna ""resto"" on lühendatud kõnekeelne vorm sõnast ""restoran"", mida kasutatakse peamiselt informaalsetes kontekstides nagu sotsiaalmeedia, blogid, sõpradevaheline suhtlus ja vabamas vormis kirjutised. Ametlikes tekstides, uudistes või formaalsetes dokumentides kasutatakse tavaliselt täispikka sõna ""restoran""."	restoran, söögikoht, toidukoht, söögimaja
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on neutraalne ja formaalne termin, mida kasutatakse ametlikus keeles, ajakirjanduses, turismimaterjalides ja igapäevases kõnekeeles. See on eesti keeles üldlevinud ja aktsepteeritud sõna toitlustusasutuse tähistamiseks, kus toite valmistatakse kohapeal. Sõna ei ole slängilik ega liiga informaalne, vaid kuulub standardkeele sõnavarasse."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	informaalsetes	Sõna 'turva' tähenduses turvamees või turvatöötaja on kõnekeelne lühend, mida kasutatakse peamiselt informaalsetes kontekstides. Ametlikes või formaalsetes tekstides (nt ametlikud dokumendid, töölepingud, ametijuhendid) eelistatakse täpsemaid ja täielikumaid termineid.	turvamees, turvatöötaja, valvur, turvateenistuja, ihukaitsja (olenevalt täpsest rollist)
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turvamees"" on neutraalne ja laialdaselt kasutatav termin, mida kasutatakse ametlikes kontekstides, uudistes, ametinimetustes ja formaalsetes kirjeldustes. See on eesti keeles üldlevinud ja aktsepteeritud termin turvatöötaja kohta, kes tegeleb objektide või isikute kaitsega. Sõna kasutatakse nii ametlikes dokumentides kui ka igapäevases kõnepruugis ilma informaalse varjundita."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastanumber"" on neutraalne ja formaalne termin, mida kasutatakse ametlikes tekstides, teadustöödes, ajalookäsitlustes ja muudes formaalsetes kontekstides, kus on vaja täpselt viidata konkreetsele kalendriaastale. See on korrektne ja täpne termin, mis ei sisalda kõnekeelseid elemente. Sõna on levinud ka haridusasutuste materjalides, entsüklopeediates ja muudes akadeemilistes tekstides."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastaarv"" on neutraalne ja formaalne termin, mida kasutatakse ametlikes tekstides, õpikutes, teatmeteostes ja ajaloolistes dokumentides. See on täpne ja üheselt mõistetav termin, mis viitab konkreetselt kalendriaastat tähistavale numbrile. Sõna on levinud hariduses, teadustöödes ja ametlikus keelekasutuses, kus on vaja täpselt viidata aastatele."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" on slängiline väljend, mis pärineb ingliskeelsest sõnast ""fucked up"" või ""messed up"". Seda kasutatakse peamiselt kõnekeeles ja informaalsetes kirjalikes suhtluskanalites nagu sotsiaalmeedia, foorumid, kommentaariumid ja vestlusrakendused. Formaalsetes tekstides (ametlikud dokumendid, akadeemilised tööd, uudisartiklid) seda väljendit ei kasutata, kuna see on liiga kõnekeelne ja mitteametlik."	ebaõnnestunud, nurjunud, läbi kukkunud, rikutud, äpardunud, luhtunud, untsu läinud, aia taha läinud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" on slängisõna, mida kasutatakse peamiselt kõnekeeles ja informaalsetes keskkondades nagu sotsiaalmeedia, foorumid ja igapäevane suhtlus. See ei kuulu kirjakeele standardsõnavarasse ning seda ei kohta ametlikes dokumentides, akadeemilistes tekstides või formaalsetes olukordades. Sõna on levinud eriti noorte seas ja internetisuhtluses."	läbi, rikki, katki, nurjunud, ebaõnnestunud, untsu läinud, ära rikutud, lõplikult rikutud
sablon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""sablon"" on tehniline termin, mida kasutatakse peamiselt erialakeeles (käsitöö, disain, trükindus, ehitus jms) ning neutraalsetes või formaalsetes kontekstides. See on laensõna, mis on eesti keeles kasutusel spetsiifilise tehnilise vahendi tähistamiseks. Sõna esineb sageli õpikutes, juhendites, erialastes tekstides ja käsiraamatutes, kus kirjeldatakse täpseid töövõtteid või -vahendeid."	ei kohaldu
šabloon	vahend, eeskujuvorm vm, millega kantakse piirjooni materjalile või tehakse midagi selle vormi järgi	neutraalsetes/formaalsetes	"Sõna ""šabloon"" on tehniline termin, mida kasutatakse peamiselt erialases kontekstis (nt käsitöö, ehitus, disain, trükindus) ning ametlikes või neutraalsetes tekstides. See on laensõna, mis on eesti keeles juurdunud erialaterminina. Sõna kasutatakse sageli juhendites, õpikutes ja tehnilistes kirjeldustes, mis viitab selle neutraalsele või formaalsele kasutusele."	ei kohaldu
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on neutraalne ja formaalne termin, mida kasutatakse laialdaselt nii ametlikus keelekasutuses, ajakirjanduses, hariduses kui ka igapäevases kõnes. See on eesti keele põhisõnavara osa, millel puudub informaalne või kõnekeelne varjund. Sõna kasutatakse nii akadeemilistes tekstides, uudistes kui ka ametlikes dokumentides, viidates perioodiliselt ilmuvale väljaandele."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" on laensõna saksa keelest (Zeitung) ja on eesti keeles vananenud, kõnekeelne väljend. Tänapäeval kasutatakse seda pigem humoristlikus või iroonilises võtmes, informaalsetes kontekstides nagu sotsiaalmeedia, blogid või kõnekeel. Ametlikes või neutraalsetes tekstides seda väljendit ei kasutata, kuna see on asendunud tänapäevaste neutraalsete vastetega."	ajaleht, päevaleht, nädalaleht, ajakiri, väljaanne, leht
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	neutraalsetes/formaalsetes	"Sõna ""moekas"" on neutraalne kirjakeelne sõna, mida kasutatakse nii ajakirjanduses, moodi käsitlevates artiklites kui ka kaubanduses. See on ametlikult tunnustatud sõna, mis esineb sageli rõivaste, sisekujunduse või elustiili kirjeldustes. Sõna on levinud ka kaubanduslikul eesmärgil kasutatavates tekstides (reklaamid, tootekirjeldused) ning ajakirjanduses, mis viitab selle neutraalsele või isegi formaalsele kasutusele."	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"Sõna ""trendikas"" on kõnekeelsem variant, mida kasutatakse rohkem informaalsetes kontekstides nagu blogid, sotsiaalmeedia, ajakirjanduse meelelahutusrubriigid ja igapäevane suhtlus. See on tuletatud ingliskeelsest sõnast ""trendy"" ning on saanud populaarseks eriti noorema põlvkonna kõnepruugis. Formaalsetes või akadeemilistes tekstides eelistatakse tavaliselt neutraalsemaid sünonüüme."	moodne, ajakohane, kaasaegne, moega kaasas käiv, populaarne, päevakohane, nüüdisaegne
