Katsesõna	Tähendus	vastus	põhjendus	sünonüümid
resto	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	informaalsetes	"Sõna ""resto"" on lühend sõnast ""restoran"" ja selliseid lühendeid kasutatakse eesti keeles pigem informaalsetes kontekstides. See on kõnekeelne ja argine väljend."	restoran, söögikoht
restoran	söögi-, joogi- ja ajaviitekoht, kus hrl toite valmistatakse kohapeal	neutraalsetes/formaalsetes	"Sõna ""restoran"" on üldkeelne ja kasutatakse nii neutraalsetes kui ka formaalsemates tekstides, näiteks ajaleheartiklites, ametlikes dokumentides, kirjanduses jne. See ei ole iseenesest släng ega argikeel."	ei kohaldu
turva	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turva"" selles tähenduses on minu treeningandmete põhjal kasutuses pigem neutraalsetes ja formaalsetes tekstides, näiteks uudistes, ametlikes dokumentides, ettevõtete kodulehtedel ja muudes sarnastes kontekstides. See on lühike ja konkreetne termin, mida kasutatakse ametliku positsiooni kirjeldamiseks."	ei kohaldu
turvamees	töötaja, kes kaitseb objekte või inimesi, tagab üritustel korda, valvab valveseadmestiku üle vm	neutraalsetes/formaalsetes	"Sõna ""turvamees"" on üsna tavaline ja laialt kasutatav ametinimetus. Seda esineb nii ametlikes dokumentides, uudistes kui ka igapäevakõnes, mis viitab neutraalsele või formaalsele kasutusele."	ei kohaldu
aastanumber	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastanumber"" on üsna neutraalne ja selge tähendusega, mistõttu sobib see nii neutraalsetesse kui ka formaalsetesse tekstidesse. Seda kasutatakse näiteks dokumentides, aruannetes ja ametlikes kirjutistes, kus on vaja kalendriaastat täpselt märkida."	ei kohaldu
aastaarv	kalendriaastat märkiv arv	neutraalsetes/formaalsetes	"Sõna ""aastaarv"" on oma olemuselt neutraalne kuni formaalne, kuna seda kasutatakse pigem kirjalikes tekstides ja ametlikes dokumentides, kus on vaja täpsust ja korrektsust kalendriaastate märkimisel. See on tehniline termin, mida ei esine tihti argivestluses või informaalsetes tekstides."	ei kohaldu
mokas	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""mokas"" tähenduses 'ebaõnnestunud, nurjunud' on minu treeningandmete põhjal pigem argikeelne väljend, mida kasutatakse vabas ja mitteametlikus kontekstis. Seega sobib see paremini informaalsetesse tekstidesse."	ebaõnnestunud, nurjunud, rikutud, läbi kukkunud
kööga	(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud	informaalsetes	"Sõna ""kööga"" kõlab argikeelselt ja väljendab ebaõnnestumist või riknemist emotsionaalselt. Selline väljendusviis on omane pigem informaalsetele tekstidele."	läbi kukkunud, nurjunud, ebaõnnestunud, rikutud
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	neutraalsetes/formaalsetes	"Sõna ""ajaleht"" on üldlevinud ja kasutatakse nii uudistes, ametlikes dokumentides kui ka teistes tekstides, kus on oluline neutraalne ja korrektne keel. See ei ole omane ainult informaalsetele tekstidele."	ei kohaldu
seitung	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)	informaalsetes	"Sõna ""seitung"" on pigem vanamoodne ja argikeelne väljend ajalehe kohta. Seda kasutatakse harvem neutraalsetes või formaalsetes tekstides, kus eelistatakse sõnu nagu ""ajaleht"", ""väljaanne"" või konkreetse ajalehe nime."	ajaleht, leht
moekas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	neutraalsetes/formaalsetes	"Sõna ""moekas"" on küllaltki üldkeelne ja ei ole otseselt seotud informaalsete tekstidega. Kuigi seda võib esineda ka blogides jms, on see sobiv ka neutraalsetes ja isegi formaalsemates kontekstides, näiteks moeajakirjades, reklaamides või kirjeldustes."	ei kohaldu
trendikas	käesolevale ajale iseloomulik või kohane, (oma arengult) sellele vastav; valitsevale moele või ajastu suundumustele vastav, moes olev või moodi järgiv	informaalsetes	"Sõna ""trendikas"" on minu treeningandmete põhjal pigem argikeelne ja seetõttu sagedamini kasutatav informaalsetes tekstides, nagu blogid, sotsiaalmeedia postitused ja vestlused. See on vähem levinud formaalsetes tekstides nagu ametlikud dokumendid või teadusartiklid."	moekas, moodne, ajakohane, uusim, up-to-date
käkerdis	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""käkerdis"" kannab endas negatiivset ja subjektiivset hinnangut ning seda kasutatakse pigem olukordades, kus ollakse vaba ja vahetu, näiteks sõprade omavahelistes vestlustes või blogipostitustes, kus tahetakse rõhutada millegi halba kvaliteeti. See ei sobi ametlikesse aruannetesse või formaalsetesse kõnedesse."	praak, ebakvaliteetne toode, kehvasti tehtu, möödalask, fopa
plätserdus	asi, mis on oskamatult või kiiruga, hooletult tehtud, kehv töö	informaalsetes	"Sõna ""plätserdus"" on kõlalt ja tähenduselt pigem hinnanguline ja emotsionaalne, viidates hooletusele ja oskamatusele. Sellist väljendust kasutatakse tõenäolisemalt argikeeles ja mitteametlikes suhtlussituatsioonides."	praak, fusk, käkerdis, saast
vaib	eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms	informaalsetes	"Sõna ""vaib"" tähenduses 'eriline meeleolu või tunne, mille tekitab teatav koht, sündmus, muusikapala vms' on üsna uus ja slängilik termin. Seda kasutatakse peamiselt noorte seas ja internetisuhtluses, mis on olemuselt informaalne."	õhkkond, meeleolu, atmosfäär, tunnetus
nett	arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust); mis tahes arvutivõrkude üldnimetus	informaalsetes	"Sõna ""nett"" antud tähenduses on lühend ingliskeelsest sõnast ""network"" ja seda kasutatakse eesti keeles pigem argikeeles või tehnilises slängis, mis esineb tihti informaalsetes tekstides."	arvutivõrk, võrk
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas	informaalsetes	"Sõna ""pontšik"" on pigem argikeelne ja igapäevane sõna, mida kasutatakse tihti vabas vormis vestlustes, blogides, sotsiaalmeedias ja muudes mitteametlikes kontekstides. Formaalsemates tekstides eelistatakse tõenäoliselt neutraalsemaid väljendeid."	sõõrik
sõõrik	rõngakujuline või ümmargune õlis keedetud pirukas	neutraalsetes/formaalsetes	"Sõna ""sõõrik"" on üsna tavaline ja neutraalne sõna, mida kasutatakse nii igapäevakõnes kui ka kirjalikes tekstides, mis ei ole tingimata ranged ja formaalsed. See ei viita otseselt slängile või väga familiaarsele kontekstile, mistõttu ei ole põhjust arvata, et seda kasutatakse peamiselt informaalsetes tekstides. Pigem on see neutraalne või isegi formaalne."	ei kohaldu
